LAMMPS (15 May 2015)
Reading data file ...
  triclinic box = (-0.107635 -0.0404339 -0.357111) to (41.3876 35.9384 29.5551) with tilt (-0.0672341 -17.0362 -0.0417078)
  5 by 4 by 3 MPI processor grid
  reading atoms ...
  4560 atoms
  reading velocities ...
  4560 velocities
  scanning bonds ...
  3 = max bonds/atom
  scanning angles ...
  3 = max angles/atom
  scanning dihedrals ...
  8 = max dihedrals/atom
  scanning impropers ...
  1 = max impropers/atom
  reading bonds ...
  5040 bonds
  reading angles ...
  7200 angles
  reading dihedrals ...
  10560 dihedrals
  reading impropers ...
  2400 impropers
Finding 1-2 1-3 1-4 neighbors ...
 Special bond factors lj:   0          0          0         
 Special bond factors coul: 0          0          0         
  4 = max # of 1-2 neighbors
  8 = max # of 1-3 neighbors
  20 = max # of 1-4 neighbors
  16 = max # of special neighbors
4560 atoms in group all
720 atoms in group C
480 atoms in group S
1920 atoms in group H
720 atoms in group Si
240 atoms in group Na
240 atoms in group Ba
240 atoms in group O
4560 atoms in group naphthalene
1200 atoms in group fixed
960 atoms in group CO
Setting atom values ...
  720 settings made for charge
Setting atom values ...
  720 settings made for charge
Setting atom values ...
  1920 settings made for charge
Setting atom values ...
  480 settings made for charge
Setting atom values ...
  240 settings made for charge
Setting atom values ...
  240 settings made for charge
Setting atom values ...
  240 settings made for charge
Finding 1-2 1-3 1-4 neighbors ...
 Special bond factors lj:   0          0          0.5       
 Special bond factors coul: 0          0          0.5       
  4 = max # of 1-2 neighbors
  8 = max # of 1-3 neighbors
  20 = max # of 1-4 neighbors
  16 = max # of special neighbors
PPPM initialization ...
  G vector (1/distance) = 0.253736
  grid = 16 16 20
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00119712
  estimated relative force accuracy = 3.60508e-06
  using double precision FFTs
  3d grid and FFT values/proc = 1053 112
Neighbor list info ...
  6 neighbor list requests
  update every 1 steps, delay 0 steps, check yes
  master list distance cutoff = 12
Setting up run ...
Memory usage per processor = 14.0537 Mbytes
Step Temp Density PotEng E_vdwl E_tail E_coul E_long Press Volume Xy Xz Yz E_mol E_bond E_angle E_dihed 14[1] 14[2] 14[3] msd[4] msd2[4] msd3[4] msd4[4] naphthal Cella Cellb Cellc CellAlpha CellBeta CellGamma 2 27[1] 27[2] 27[3] 
  610000    296.90173    1.2509986    3338.4895            0            0    1039.7493   -1153.4599   -8625.8133    44657.537 -0.067234084   -17.036218 -0.041707817    3452.2001    1456.9622    955.03389    889.15067    28.379453    18.844946    14.336739 0.00036363235 0.00036294214 0.00036534832 0.00036470429    296.90173     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1090.8971     28.38012    18.846386    14.337018 
  620000    303.06215    1.2509986    3430.3954            0            0    1038.7966   -1153.7136   -7579.7556    44657.537 -0.067234084   -17.036218 -0.041707817    3545.3124    1514.0159    941.95013    931.99739    28.379787    18.846455    14.336741 0.00036286868 0.00036263405 0.00035881802 0.0003586642    303.06215     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069     1088.606     28.37996    18.846621     14.33769 
  630000    302.73253    1.2509986    3404.8945            0            0    1041.8629   -1153.2458   -8163.8601    44657.537 -0.067234084   -17.036218 -0.041707817    3516.2773    1495.2741    977.24774    887.11957    28.381061    18.845999    14.339005 0.00037094863 0.00037002125 0.00036844174 0.00036712657    302.73253     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1112.8459    28.379733    18.846782    14.338492 
  640000     297.6294    1.2509986    3320.2491            0            0    1039.7396   -1153.2879   -9054.0111    44657.537 -0.067234084   -17.036218 -0.041707817    3433.7974    1451.2677    955.16835    874.31132    28.376484    18.846648    14.336142 0.00037260252 0.00037221358 0.00036480595 0.00036446706     297.6294     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1117.8076    28.379418    18.846095    14.337225 
  650000    298.50707    1.2509986    3403.5761            0            0    1040.0563   -1153.5487   -9029.9925    44657.537 -0.067234084   -17.036218 -0.041707817    3517.0685    1496.0521     1001.582    871.00351    28.379795    18.845733    14.337629 0.00035112856 0.00035072478 0.00034352415 0.00034320803    298.50707     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1053.3857    28.379498    18.846437     14.33722 
  660000    302.54164    1.2509986    3406.2252            0            0    1041.4589    -1153.502   -7905.5574    44657.537 -0.067234084   -17.036218 -0.041707817    3518.2684     1520.909    928.69749    907.04451    28.380112    18.846045    14.337043 0.00037729367 0.00037705237 0.00036341895 0.00036274491    302.54164     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069     1131.881    28.379991    18.846126    14.337309 
  670000    299.81946    1.2509986    3412.8891            0            0    1042.0621   -1153.1955   -8358.8607    44657.537 -0.067234084   -17.036218 -0.041707817    3524.0225    1490.1862    992.77771    884.18165     28.38039    18.844293    14.338411 0.0003583308 0.00035829408 0.00035318103 0.00035308055    299.81946     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1074.9924    28.379936    18.846193    14.337663 
  680000    294.63397    1.2509986    3363.3664            0            0    1039.5022   -1153.4155   -8071.2196    44657.537 -0.067234084   -17.036218 -0.041707817    3477.2797    1456.3198    970.79239    892.21636    28.378168    18.845331    14.336289 0.00034953655 0.0003494407 0.00034882683  0.000348753    294.63397     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1048.6096    28.379691    18.846182    14.337437 
  690000    294.10131    1.2509986    3298.6156            0            0    1041.0198   -1153.2316   -8932.9543    44657.537 -0.067234084   -17.036218 -0.041707817    3410.8274    1440.9389    924.17817    892.60853     28.38061    18.845921    14.337618 0.00036831278 0.00036762668 0.00036461588 0.00036370856    294.10131     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1104.9383    28.380288    18.845923    14.338323 
  700000    297.96958    1.2509986    3385.3418            0            0    1040.9393   -1153.5671   -8541.0067    44657.537 -0.067234084   -17.036218 -0.041707817    3497.9696    1509.1042    973.24869    864.04786     28.38088    18.847226    14.337954 0.00036290449 0.00036266234 0.00036926052 0.00036896082    297.96958     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1088.7135    28.380037    18.846159    14.338146 
  710000    294.94485    1.2509986    3450.4146            0            0    1042.9872   -1152.9275   -9044.4471    44657.537 -0.067234084   -17.036218 -0.041707817    3560.3548    1515.8983    1009.3847    884.72094    28.380052    18.846883    14.337686 0.00036486883 0.00036451793 0.00036394188 0.00036370284    294.94485     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1094.6065    28.379382    18.846294    14.337298 
  720000    294.38011    1.2509986    3401.2781            0            0    1039.4266   -1153.4566   -8781.2334    44657.537 -0.067234084   -17.036218 -0.041707817     3515.308    1497.2266    988.83359    875.34104    28.378086    18.845655    14.337186 0.00035797465 0.00035752141 0.00035638301 0.00035586816    294.38011     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1073.9239    28.379951    18.846758    14.338031 
  730000    299.16167    1.2509986    3381.6898            0            0    1041.3841   -1153.3554    -7381.387    44657.537 -0.067234084   -17.036218 -0.041707817    3493.6611    1494.0986    953.65281    893.21889    28.380005    18.844931    14.338587 0.00036512637 0.0003650801 0.00037052414 0.00037037641    299.16167     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1095.3791    28.379942    18.846267    14.337819 
  740000     292.4946    1.2509986    3351.3146            0            0    1041.5369   -1153.3475   -8118.7672    44657.537 -0.067234084   -17.036218 -0.041707817    3463.1252    1461.5784    947.57329    900.61025    28.381807    18.845934     14.33766 0.00036940207 0.00036920269 0.00036865616 0.00036853285     292.4946     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1108.2062    28.379917    18.846268    14.338149 
  750000    296.92293    1.2509986     3351.458            0            0    1042.2347    -1152.992   -9883.5619    44657.537 -0.067234084   -17.036218 -0.041707817    3462.2154     1508.965     941.8701    860.20986     28.37758    18.846481    14.336776 0.00036358378 0.00036337898 0.00036604934 0.00036570675    296.92293     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1090.7514    28.380173    18.846362    14.337789 
  760000    292.60404    1.2509986     3468.699            0            0     1042.306   -1153.2581   -9317.1063    44657.537 -0.067234084   -17.036218 -0.041707817    3579.6511    1532.6469    963.59391    921.02116    28.379635    18.845243    14.337098 0.0003584891 0.00035845138 0.00035209299 0.00035200909    292.60404     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1075.4673    28.379779    18.846372    14.337776 
  770000    297.96826    1.2509986    3404.3322            0            0    1041.5862   -1153.2114   -9053.6957    44657.537 -0.067234084   -17.036218 -0.041707817    3515.9574    1455.1686    972.43325    930.04795    28.380022    18.845347    14.337782 0.00035785231 0.00035770636 0.00035340366 0.00035312242    297.96826     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1073.5569    28.379688    18.846554    14.337785 
  780000    298.18426    1.2509986     3450.733            0            0     1041.939   -1153.2665   -8927.0665    44657.537 -0.067234084   -17.036218 -0.041707817    3562.0605     1501.894     1004.793    904.73682      28.3806     18.84428    14.337629 0.00035887598 0.00035867883 0.00035378684 0.00035330316    298.18426     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1076.6279    28.380099    18.846469    14.337764 
  790000    293.89322    1.2509986    3361.8726            0            0    1043.4189   -1153.2506   -8363.5224    44657.537 -0.067234084   -17.036218 -0.041707817    3471.7043     1471.233    957.82965    889.49329    28.380998    18.845452    14.337201 0.00037143893 0.00037122211 0.00037624782 0.0003761835    293.89322     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1114.3168    28.380113    18.846354    14.337487 
  800000    297.02959    1.2509986    3389.0396            0            0     1042.155   -1153.2877   -8920.6759    44657.537 -0.067234084   -17.036218 -0.041707817    3500.1722    1485.8695    974.52167    886.30033    28.380376    18.845516     14.33694 0.00034569479 0.00034523754 0.0003525225 0.00035223259    297.02959     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1037.0844    28.379854    18.846793    14.337465 
Loop time of 2801 on 60 procs for 800000 steps with 4560 atoms

Pair  time (%) = 437.549 (15.6212)
Bond  time (%) = 47.1529 (1.68343)
Kspce time (%) = 1442.79 (51.5098)
Neigh time (%) = 13.0197 (0.464822)
Comm  time (%) = 590.496 (21.0816)
Outpt time (%) = 0.594708 (0.021232)
Other time (%) = 269.399 (9.61793)

Nlocal:    76 ave 85 max 66 min
Histogram: 1 0 2 15 11 13 6 7 3 2
Nghost:    3994.85 ave 4078 max 3888 min
Histogram: 3 9 2 5 1 5 9 12 10 4
Neighs:    28108.5 ave 31779 max 24549 min
Histogram: 1 0 8 11 14 9 5 7 4 1

Total # of neighbors = 1686513
Ave neighs/atom = 369.849
Ave special neighs/atom = 10.6316
Neighbor list builds = 5454
Dangerous builds = 0
System init for write_data ...
PPPM initialization ...
  G vector (1/distance) = 0.253736
  grid = 16 16 20
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00119712
  estimated relative force accuracy = 3.60508e-06
  using double precision FFTs
  3d grid and FFT values/proc = 1053 112
